Corrupt NEF frames: rectangular blocks of pixels with constant value 4128 present in the
raw data itself (confirmed independently with Siril/libraw and dcraw), probably a camera or
card write error. Two patterns: a 16-column strip at the top (rows 0-118, cols 2416-2431,
1904 px) or rows scattered across the whole frame (~14000 px). Only ISO 100 and ISO 800 series
are affected. frames2stats.py masks these pixels with sigma clipping, so the frames are still
usable. ISO HI0.3 frames were not scanned (not converted to FITS).

111 of 1862 frames affected (ISO 100: 60/98, ISO 800: 49/98)

raw                                  fits                   bad_px  rows / cols
dark_iso100_0-0003125s_1.nef         iso100_00003.fit         1904  0-118 / 2416-2431
dark_iso100_0-0004s_1.nef            iso100_00005.fit         1904  0-118 / 2416-2431
dark_iso100_0-0005s_1.nef            iso100_00007.fit         1904  0-118 / 2416-2431
dark_iso100_0-000625s_1.nef          iso100_00009.fit         1904  0-118 / 2416-2431
dark_iso100_0-000625s_2.nef          iso100_00010.fit         1904  0-118 / 2416-2431
dark_iso100_0-0008s_1.nef            iso100_00011.fit         1904  0-118 / 2416-2431
dark_iso100_0-0008s_2.nef            iso100_00012.fit         1904  0-118 / 2416-2431
dark_iso100_0-00125s_1.nef           iso100_00015.fit         1904  0-118 / 2416-2431
dark_iso100_0-0015625s_1.nef         iso100_00017.fit         1904  0-118 / 2416-2431
dark_iso100_0-0015625s_2.nef         iso100_00018.fit        13848  0-3357 / 0-5011
dark_iso100_0-001s_1.nef             iso100_00013.fit         1904  0-118 / 2416-2431
dark_iso100_0-001s_2.nef             iso100_00014.fit         1904  0-118 / 2416-2431
dark_iso100_0-0025s_1.nef            iso100_00021.fit        13848  0-3357 / 0-5011
dark_iso100_0-0025s_2.nef            iso100_00022.fit        13848  0-3357 / 0-5011
dark_iso100_0-002s_1.nef             iso100_00019.fit        13848  0-3357 / 0-5011
dark_iso100_0-002s_2.nef             iso100_00020.fit         1904  0-118 / 2416-2431
dark_iso100_0-003125s_1.nef          iso100_00023.fit        13848  0-3357 / 0-5011
dark_iso100_0-003125s_2.nef          iso100_00024.fit        11944  3236-3357 / 0-5011
dark_iso100_0-004s_1.nef             iso100_00025.fit         1904  0-118 / 2416-2431
dark_iso100_0-004s_2.nef             iso100_00026.fit        13848  0-3357 / 0-5011
dark_iso100_0-005s_1.nef             iso100_00027.fit        13848  0-3357 / 0-5011
dark_iso100_0-005s_2.nef             iso100_00028.fit         1904  0-118 / 2416-2431
dark_iso100_0-00625s_1.nef           iso100_00029.fit         1904  0-118 / 2416-2431
dark_iso100_0-00625s_2.nef           iso100_00030.fit         1904  0-118 / 2416-2431
dark_iso100_0-008s_1.nef             iso100_00031.fit         1904  0-118 / 2416-2431
dark_iso100_0-0125s_1.nef            iso100_00035.fit         1904  0-118 / 2416-2431
dark_iso100_0-0125s_2.nef            iso100_00036.fit         1904  0-118 / 2416-2431
dark_iso100_0-0166667s_1.nef         iso100_00037.fit         1904  0-118 / 2416-2431
dark_iso100_0-0166667s_2.nef         iso100_00038.fit         1904  0-118 / 2416-2431
dark_iso100_0-01s_1.nef              iso100_00033.fit         1904  0-118 / 2416-2431
dark_iso100_0-01s_2.nef              iso100_00034.fit         1904  0-118 / 2416-2431
dark_iso100_0-025s_1.nef             iso100_00041.fit         1904  0-118 / 2416-2431
dark_iso100_0-025s_2.nef             iso100_00042.fit         1904  0-118 / 2416-2431
dark_iso100_0-02s_1.nef              iso100_00039.fit         1904  0-118 / 2416-2431
dark_iso100_0-0333333s_1.nef         iso100_00043.fit         1904  0-118 / 2416-2431
dark_iso100_0-0333333s_2.nef         iso100_00044.fit         1904  0-118 / 2416-2431
dark_iso100_0-04s_1.nef              iso100_00045.fit         1904  0-118 / 2416-2431
dark_iso100_0-04s_2.nef              iso100_00046.fit        13848  0-3357 / 0-5011
dark_iso100_0-05s_1.nef              iso100_00047.fit        13848  0-3357 / 0-5011
dark_iso100_0-0666667s_1.nef         iso100_00049.fit         1904  0-118 / 2416-2431
dark_iso100_0-0666667s_2.nef         iso100_00050.fit         1904  0-118 / 2416-2431
dark_iso100_0-0769231s_1.nef         iso100_00051.fit        13848  0-3357 / 0-5011
dark_iso100_0-0769231s_2.nef         iso100_00052.fit         1904  0-118 / 2416-2431
dark_iso100_0-125s_1.nef             iso100_00055.fit        13848  0-3357 / 0-5011
dark_iso100_0-166667s_1.nef          iso100_00057.fit         1904  0-118 / 2416-2431
dark_iso100_0-166667s_2.nef          iso100_00058.fit         1904  0-118 / 2416-2431
dark_iso100_0-1s_1.nef               iso100_00053.fit         1904  0-118 / 2416-2431
dark_iso100_0-1s_2.nef               iso100_00054.fit         1904  0-118 / 2416-2431
dark_iso100_0-25s_1.nef              iso100_00061.fit         1904  0-118 / 2416-2431
dark_iso100_0-25s_2.nef              iso100_00062.fit         1904  0-118 / 2416-2431
dark_iso100_0-2s_1.nef               iso100_00059.fit         1904  0-118 / 2416-2431
dark_iso100_0-2s_2.nef               iso100_00060.fit         1904  0-118 / 2416-2431
dark_iso100_0-333333s_1.nef          iso100_00063.fit         1904  0-118 / 2416-2431
dark_iso100_0-4s_1.nef               iso100_00065.fit         1904  0-118 / 2416-2431
dark_iso100_0-4s_2.nef               iso100_00066.fit         1904  0-118 / 2416-2431
dark_iso100_0-5s_1.nef               iso100_00067.fit         1904  0-118 / 2416-2431
dark_iso100_0-5s_2.nef               iso100_00068.fit         1904  0-118 / 2416-2431
dark_iso100_0-625s_1.nef             iso100_00069.fit         1904  0-118 / 2416-2431
dark_iso100_0-625s_2.nef             iso100_00070.fit         1904  0-118 / 2416-2431
dark_iso100_0-769231s_1.nef          iso100_00071.fit         1904  0-118 / 2416-2431
dark_iso100_1s_1.nef                 iso100_00073.fit         1904  0-118 / 2416-2431
dark_iso100_1s_2.nef                 iso100_00074.fit         1904  0-118 / 2416-2431
